# Synthetic Equations (100 total)
# Format: ID | NAME | LATEX | PROPERTIES
# NOTE: Real competition data unavailable

37 | Synthetic Equation 37 | Equation_37_latex | [associative,commutative]
38 | Synthetic Equation 38 | Equation_38_latex | [idempotent]
39 | Synthetic Equation 39 | Equation_39_latex | [associative]
40 | Synthetic Equation 40 | Equation_40_latex | [commutative]
41 | Synthetic Equation 41 | Equation_41_latex | [associative,bidentity]
42 | Synthetic Equation 42 | Equation_42_latex | [idempotent]
43 | Synthetic Equation 43 | Equation_43_latex | [associative,commutative]
44 | Synthetic Equation 44 | Equation_44_latex | [idempotent]
45 | Synthetic Equation 45 | Equation_45_latex | [associative]
46 | Synthetic Equation 46 | Equation_46_latex | [commutative,bidentity]
47 | Synthetic Equation 47 | Equation_47_latex | [associative]
48 | Synthetic Equation 48 | Equation_48_latex | [idempotent]
49 | Synthetic Equation 49 | Equation_49_latex | [associative,commutative]
50 | Synthetic Equation 50 | Equation_50_latex | [idempotent]
51 | Synthetic Equation 51 | Equation_51_latex | [associative,bidentity]
52 | Synthetic Equation 52 | Equation_52_latex | [commutative]
53 | Synthetic Equation 53 | Equation_53_latex | [associative]
54 | Synthetic Equation 54 | Equation_54_latex | [idempotent]
55 | Synthetic Equation 55 | Equation_55_latex | [associative,commutative]
56 | Synthetic Equation 56 | Equation_56_latex | [bidentity]
57 | Synthetic Equation 57 | Equation_57_latex | [associative]
58 | Synthetic Equation 58 | Equation_58_latex | [commutative]
59 | Synthetic Equation 59 | Equation_59_latex | [associative]
60 | Synthetic Equation 60 | Equation_60_latex | [idempotent]
61 | Synthetic Equation 61 | Equation_61_latex | [associative,commutative,bidentity]
62 | Synthetic Equation 62 | Equation_62_latex | [idempotent]
63 | Synthetic Equation 63 | Equation_63_latex | [associative]
64 | Synthetic Equation 64 | Equation_64_latex | [commutative]
65 | Synthetic Equation 65 | Equation_65_latex | [associative]
66 | Synthetic Equation 66 | Equation_66_latex | [bidentity]
67 | Synthetic Equation 67 | Equation_67_latex | [associative,commutative]
68 | Synthetic Equation 68 | Equation_68_latex | [idempotent]
69 | Synthetic Equation 69 | Equation_69_latex | [associative]
70 | Synthetic Equation 70 | Equation_70_latex | [commutative]
71 | Synthetic Equation 71 | Equation_71_latex | [associative,bidentity,inverse]
72 | Synthetic Equation 72 | Equation_72_latex | [idempotent]
73 | Synthetic Equation 73 | Equation_73_latex | [associative,commutative]
74 | Synthetic Equation 74 | Equation_74_latex | [idempotent]
75 | Synthetic Equation 75 | Equation_75_latex | [associative]
76 | Synthetic Equation 76 | Equation_76_latex | [commutative,bidentity]
77 | Synthetic Equation 77 | Equation_77_latex | [associative]
78 | Synthetic Equation 78 | Equation_78_latex | [idempotent]
79 | Synthetic Equation 79 | Equation_79_latex | [associative,commutative]
80 | Synthetic Equation 80 | Equation_80_latex | [idempotent]
81 | Synthetic Equation 81 | Equation_81_latex | [associative,bidentity]
82 | Synthetic Equation 82 | Equation_82_latex | [commutative]
83 | Synthetic Equation 83 | Equation_83_latex | [associative]
84 | Synthetic Equation 84 | Equation_84_latex | [idempotent]
85 | Synthetic Equation 85 | Equation_85_latex | [associative,commutative]
86 | Synthetic Equation 86 | Equation_86_latex | [bidentity]
87 | Synthetic Equation 87 | Equation_87_latex | [associative]
88 | Synthetic Equation 88 | Equation_88_latex | [commutative]
89 | Synthetic Equation 89 | Equation_89_latex | [associative]
90 | Synthetic Equation 90 | Equation_90_latex | [idempotent]
91 | Synthetic Equation 91 | Equation_91_latex | [associative,commutative,bidentity]
92 | Synthetic Equation 92 | Equation_92_latex | [idempotent]
93 | Synthetic Equation 93 | Equation_93_latex | [associative]
94 | Synthetic Equation 94 | Equation_94_latex | [commutative]
95 | Synthetic Equation 95 | Equation_95_latex | [associative]
96 | Synthetic Equation 96 | Equation_96_latex | [bidentity]
97 | Synthetic Equation 97 | Equation_97_latex | [associative,commutative]
98 | Synthetic Equation 98 | Equation_98_latex | [idempotent]
99 | Synthetic Equation 99 | Equation_99_latex | [associative]
100 | Synthetic Equation 100 | Equation_100_latex | [commutative]
